,datahora,satelite,latitude,longitude,diasemchuva,precipitacao,riscofogo,frp
36,2016/03/28 16:20:00,NPP-375,-3.80326,-38.42915,-999.0,3.1,-999.0,
37,2016/08/20 16:01:00,NPP-375,-3.85664,-38.48753,-999.0,0.0,-999.0,
38,2016/10/06 16:20:00,NPP-375,-3.86835,-38.51802,20.0,0.0,-999.0,
39,2016/09/15 16:13:00,NPP-375,-3.78748,-38.51427,68.0,0.0,-999.0,
40,2016/09/08 04:06:00,NPP-375,-3.85911,-38.52536,47.0,0.0,1.0,
41,2016/07/13 16:14:00,NPP-375,-3.77687,-38.49406,-999.0,0.0,-999.0,
42,2016/10/17 16:14:00,NPP-375,-3.85878,-38.53561,31.0,0.0,1.0,
43,2016/10/13 20:52:42,NOAA-18,-3.82,-38.458,-999.0,0.0,1.0,
44,2016/10/17 16:14:00,NPP-375,-3.85983,-38.51855,31.0,0.0,-999.0,
45,2016/08/14 16:14:00,NPP-375,-3.85587,-38.53568,22.0,0.0,1.0,
46,2016/09/10 16:07:00,NPP-375,-3.79937,-38.52148,63.0,0.0,1.0,
47,2016/09/13 16:51:00,NPP-375,-3.87256,-38.51316,52.0,0.0,-999.0,
48,2016/08/07 16:45:00,NPP-375,-3.84079,-38.54659,15.0,0.0,1.0,
49,2016/09/08 04:06:00,NPP-375,-3.8575,-38.52598,47.0,0.0,1.0,
50,2016/09/08 04:06:00,NPP-375,-3.80723,-38.45932,-999.0,0.0,1.0,
51,2016/10/15 04:13:00,NPP-375,-3.82773,-38.4519,-999.0,0.0,1.0,
52,2016/10/17 16:14:00,NPP-375,-3.85814,-38.53149,31.0,0.0,1.0,
53,2016/10/13 20:52:42,NOAA-18,-3.819,-38.451,-999.0,0.0,1.0,
54,2016/12/28 15:23:00,NPP-375,-3.83118,-38.54021,4.0,0.0,1.0,
0,2017/08/29 15:48:00,NPP-375,-3.79562,-38.56032,0.0,0.0,-999.0,
1,2017/12/04 12:58:00,TERRA_M-T,-3.752,-38.467,0.0,0.0,1.0,
2,2017/08/24 15:42:00,NPP-375,-3.82283,-38.49792,0.0,0.0,-999.0,
3,2017/08/29 15:48:00,NPP-375,-3.79498,-38.55608,0.0,0.0,-999.0,
4,2017/09/02 16:13:00,NPP-375,-3.82376,-38.52777,0.0,0.0,-999.0,
5,2017/09/04 13:16:00,TERRA_M-T,-3.799,-38.633,0.0,0.0,1.0,
6,2017/09/09 15:42:00,NPP-375,-3.78105,-38.46801,0.0,0.0,-999.0,
7,2017/09/09 15:42:00,NPP-375,-3.7803,-38.46286,0.0,0.0,-999.0,
8,2017/11/10 16:20:00,NPP-375,-3.78831,-38.44112,0.0,0.0,1.0,
9,2017/11/10 16:20:00,NPP-375,-3.74923,-38.46099,0.0,0.0,-999.0,
10,2017/09/06 04:00:00,NPP-375,-3.79496,-38.53176,0.0,0.1,-999.0,
11,2017/09/10 15:23:00,NPP-375,-3.83525,-38.54161,0.0,0.2,1.0,
12,2017/09/13 16:07:00,NPP-375,-3.78863,-38.45198,0.0,0.0,-999.0,
13,2017/09/13 16:07:00,NPP-375,-3.80389,-38.43431,0.0,0.0,1.0,
14,2017/09/14 15:48:00,NPP-375,-3.78621,-38.51556,0.0,0.0,-999.0,
15,2017/09/22 13:04:00,TERRA_M-T,-3.734,-38.581,0.0,0.0,-999.0,
16,2017/09/22 13:04:00,TERRA_M-T,-3.733,-38.59,0.0,0.0,-999.0,
17,2017/09/22 13:04:00,TERRA_M-T,-3.722,-38.542,0.0,0.0,-999.0,
18,2017/09/23 16:20:00,NPP-375,-3.82107,-38.5748,0.0,0.0,-999.0,
19,2017/09/23 03:41:00,NPP-375,-3.82499,-38.59235,0.0,0.0,-999.0,
20,2017/10/01 15:30:00,NPP-375,-3.82543,-38.46351,0.0,0.0,-999.0,
21,2017/10/10 16:01:00,NPP-375,-3.81251,-38.4452,0.0,0.0,0.7,
22,2017/10/25 03:41:00,NPP-375,-3.84273,-38.56802,0.0,0.0,-999.0,
23,2017/10/25 16:20:00,NPP-375,-3.71591,-38.55466,0.0,0.0,-999.0,
24,2017/10/25 03:41:00,NPP-375,-3.82486,-38.46263,0.0,0.0,-999.0,
25,2017/11/05 16:14:00,NPP-375,-3.7154,-38.55356,0.0,0.0,-999.0,
26,2017/11/05 16:14:00,NPP-375,-3.81865,-38.52128,0.0,0.0,-999.0,
